trial_index,seed,x_meters,y_meters,distance_meters,bearing_degrees
0,1666668631,35.9643,-15.3544,39.1048,336.88
1,1854849467,-6.2625,15.5915,16.8022,111.88
2,1446466010,-39.5784,18.6596,43.7565,154.76
3,574071096,-14.4032,4.0145,14.9522,164.43
4,404886822,24.3200,-21.3426,32.3569,318.73
5,1695842196,-19.7472,-21.0692,28.8767,226.86
6,728047179,-4.1941,13.5102,14.1463,107.25
7,2079341803,-8.4249,5.2149,9.9083,148.24
8,767645784,-16.4728,-28.7594,33.1430,240.20
9,629847370,14.2383,6.9801,15.8572,26.12
10,122687712,15.2211,20.0714,25.1902,52.83
11,474985291,-6.4190,-16.0461,17.2824,248.20
12,169516173,13.5585,-42.7856,44.8825,287.58
13,1251553283,49.2391,-15.5730,51.6431,342.45
14,687730329,2.9118,-1.1583,3.1338,338.31
15,1597635784,28.3948,10.8042,30.3808,20.83
16,2088837264,-9.7713,-5.4755,11.2009,209.26
17,425006817,-15.2878,-29.0492,32.8264,242.24
18,207848549,-6.8618,29.6164,30.4009,103.04
19,1957103257,-44.0650,-29.2621,52.8961,213.59
20,1805410327,8.8874,4.3605,9.8995,26.13
21,1479457400,8.3819,-55.7944,56.4205,278.54
22,1676097000,-24.7891,-17.6103,30.4076,215.39
23,42545856,9.9592,-2.8213,10.3511,344.18
24,1787881015,-15.7265,-38.5236,41.6100,247.79
25,2033855764,3.8658,22.2807,22.6136,80.16
26,1756868648,-2.9142,8.1543,8.6594,109.67
27,63336357,7.9586,-10.0588,12.8265,308.35
28,2028273938,22.2341,-4.1000,22.6090,349.55
29,491954312,-7.0294,-58.4266,58.8479,263.14
30,788788463,-9.4013,11.2311,14.6466,129.93
31,1051560656,-19.9278,-33.6480,39.1063,239.36
32,2129091709,27.8431,-24.6239,37.1696,318.51
33,2078173018,-45.6216,-11.1131,46.9557,193.69
34,1513848509,11.1120,-20.6603,23.4590,298.27
35,2076425409,-12.7088,-13.0217,18.1955,225.70
36,1584048437,3.9256,6.0387,7.2025,56.97
37,975931218,5.3792,-36.1432,36.5413,278.47
38,2112933144,6.3949,34.2045,34.7972,79.41
39,2068451972,30.2387,16.7527,34.5692,28.99
40,558327410,2.7038,24.8683,25.0149,83.79
41,882856389,4.9555,5.3083,7.2619,46.97
42,469637874,-30.1822,-18.2120,35.2511,211.11
43,1583171441,9.9004,8.7952,13.2429,41.62
44,591703132,8.2601,9.5937,12.6597,49.27
45,1310107604,-8.3371,35.5690,36.5330,103.19
46,466046133,6.7549,-0.9592,6.8226,351.92
47,1502907636,7.8440,3.2386,8.4863,22.43
48,1208107888,-7.6332,-17.8326,19.3976,246.83
49,686173866,-0.4863,7.4513,7.4671,93.73
